chapter,number,stem,option_a,option_b,option_c,option_d,option_e,answer
第3章 局部血液循环障碍,9,最常见的栓子是(),脱落的肿瘤细胞团,空气,血栓,羊水,寄生虫,E
第3章 局部血液循环障碍,10,槟榔肝是由引起的：,肝脂变,肝水变性,门脉性肝硬化,慢性肝淤血,坏死后性肝硬化,C
第3章 局部血液循环障碍,11,诊断羊水栓塞的证据主要是在下何处发现羊水成分(),脑动脉,子宫腔内,肺泡腔内,细支气管内,肺小动脉和毛细血管,C
第3章 局部血液循环障碍,12,妇女分娩时死亡，尸体解剖发现肺小动脉内有角化上皮细胞、毛发等物质，其死亡原因可能是(),脂肪栓塞,气体栓塞,肿瘤细胞栓塞,羊水栓塞,血栓栓塞,D
第3章 局部血液循环障碍,13,在循环血液中出现不溶于血液的异常物质，随着血液流动，阻塞血管腔，这种现象称为 A. 血栓形成,血栓再通,梗死,血管阻塞,栓塞,血栓栓塞,B
第3章 局部血液循环障碍,14,血栓中的纤维蛋白被溶解称为(),血栓再通,溶解吸收,血栓机化,血栓钙化,血栓栓塞,A
第3章 局部血液循环障碍,15,血栓对机体的不利影响不包括(),阻塞血管,引起组织和器官的梗死,堵塞血管破口，阻止出血,心瓣膜变形,DIC，并引起广泛出血和休克,C
第3章 局部血液循环障碍,16,肺动脉栓塞患者常见的死亡原因是(),急性右心衰竭,急性左心衰竭,中毒性休克,大片肺出血,急性肾衰,A
第3章 局部血液循环障碍,17,左心的附壁血栓脱落后可引起(),脑动脉栓塞,肺动脉栓塞,体静脉栓塞,肝静脉栓塞,门静脉栓塞,E
第3章 局部血液循环障碍,18,在机化的血栓中形成与原血管腔相沟通的毛细血管，使部分血流得以恢复，这种现象称为(),血栓脱落,侧支循环形成,血栓机化,血栓硬化,再通,E
第3章 局部血液循环障碍,19,下列哪项不是慢性淤血的后果：,实质细胞的增生,出血,含铁血黄素沉积,间质细胞增生,可并发血栓形成,C
第3章 局部血液循环障碍,20,下列哪项属于静脉性充血(),减压后充血,妊娠子宫充血,炎性充血,进食后胃肠道的充血,静脉阻塞引起的充血,E
第3章 局部血液循环障碍,21,骨折后脂肪栓塞的部位通常是(),肺,脑,心,肝,肾,A
第3章 局部血液循环障碍,22,静脉血栓的尾部是(,白色血栓,混合血栓,红色血栓,透明血栓,层状血栓,D
第3章 局部血液循环障碍,23,下列哪些成分不会成为栓子(),肿瘤细胞团,血吸虫虫卵,机化的血栓,血液中的气体,脂肪滴,C
第3章 局部血液循环障碍,24,下述哪项不符合静脉性充血(),局部发绀,小动脉扩张,局部温度降低,局部组织肿胀,间质水肿,C
第3章 局部血液循环障碍,25,机体在处理血栓的过程中，下列哪种结局是不可能的(),分离排出,溶解、吸收,脱落为栓子,机化再通,钙化,B
第3章 局部血液循环障碍,26,白色血栓主要由下列哪些成分构成(),白细胞、纤维素和血小板,血小板和纤维素,红细胞和白细胞,红细胞和纤维素,血小板和红细胞,D
第3章 局部血液循环障碍,27,单纯动脉栓塞不易引起(,肾梗死,脑梗死,肺梗死,脾梗死,心肌梗死,B
第3章 局部血液循环障碍,28,下述哪种患者不易出现血栓形成(),大面积烧伤,直肠癌根治术后,晚期胃癌患者,心房纤颤,血栓栓塞,B
第3章 局部血液循环障碍,29,胸部手术时要注意防止(,脂肪栓塞,肿瘤细胞栓塞,气体栓塞,羊水栓塞,血栓栓塞,E
第3章 局部血液循环障碍,30,左心房内的附壁血栓是(,白色血栓,红色血栓,透明血栓,混合血栓,血凝块,D
第3章 局部血液循环障碍,31,贫血性梗死发生于(,组织疏松的器官,有双重血液供给的器官,严重淤血的器官,组织结构致密的器官,以上都不是,E
第3章 局部血液循环障碍,32,冠状动脉前降支栓塞可引起(),室间隔后 1/3 心肌梗死,左心室前壁心肌梗死,左心室后壁心肌梗死,右心室心肌梗死,左心室侧壁心肌梗死,B
第3章 局部血液循环障碍,33,脾动脉分支完全阻塞可引起脾(),出血性梗死,脓毒性梗死,液化性坏死,贫血性梗死,脾坏疽,A
第3章 局部血液循环障碍,34,脂肪栓塞时栓塞主要影响下列哪一器)官(),脾,心,肝,肺,肾,B
第3章 局部血液循环障碍,35,肠扭转可引起肠(,贫血性梗死,白色梗死,出血性梗死,凝固性坏死,液化性坏死,B
第3章 局部血液循环障碍,36,构成血栓头部的主要成分是)(),血小板,红细胞,中性粒细胞,纤维蛋白,单核细胞,B
第3章 局部血液循环障碍,37,下列哪种器官很少发生梗死(),心,脾,肾,肝,肠,A
第3章 局部血液循环障碍,38,下列对肺出血性梗死的叙述，哪项是错的(),多由支气管动脉阻塞引起,梗死灶呈锥形,多位于肺下叶,由肺动脉分支阻塞引起,多发生在严重肺淤血的基础上,D
第3章 局部血液循环障碍,39,下列哪项不会出现贫血性梗死(),脾梗死,肠梗死,心肌梗塞,肾梗死,脑梗死,C
第3章 局部血液循环障碍,40,下列哪个器官易发生出血性梗死,心,肾,肺,脑,,C
第3章 局部血液循环障碍,41,下述关于梗死的叙述中，哪一项是错误的(),双重血液循环的器官不易发生梗死,全身血液循环状态对梗死的形成无影,动脉痉挛促进梗死的形成,有效的侧支循环的建立可防止梗死的,梗死多由动脉阻塞引起,D
第3章 局部血液循环障碍,42,羊水栓塞是指羊水阻塞(的过程. 胎儿呼吸道,血管受压,胎儿肺静脉,母体肺静脉,母体肺动脉,胎儿肺动脉,E
第3章 局部血液循环障碍,43,下列哪种病变属于梗死(,重Ⅱ度烧伤,足坏疽,刀割伤,病毒性肝炎,脓肿,D
第3章 局部血液循环障碍,44,脾、肾梗死灶肉眼检查的主要特点为(),多呈楔形、灰白色、界限清楚,多呈不规则形、暗红色、界限不清,多呈楔形、暗红色、界限不清,多呈地图形、暗红色、界限不清,多呈地图状、灰白色、界限清楚,D
第3章 局部血液循环障碍,45,容易发生出血性梗死的器官是(),心,肾,脑,脾,肠,D
第3章 局部血液循环障碍,46,漏出性出血常见的部位是(),小静脉,小动脉,大动脉,毛细血管,大静脉,A
第3章 局部血液循环障碍,47,左心衰竭主要引起(,慢性脾淤血,慢性肝淤血,胃肠淤血,下肢淤血,静脉阻塞,C
第3章 局部血液循环障碍,48,下述哪项不是静脉性充血的原因(一,致炎因子刺激,心力衰竭,肿瘤压迫,静脉压升高,静脉阻塞,D
第3章 局部血液循环障碍,49,肺淤血时痰液中出现胞质中含有含铁血黄素颗粒的巨噬细胞称为(),心衰细胞,异物巨细胞,肺泡上皮细胞,尘细胞,褐色硬化肺内含有含铁血黄素的巨噬,E
第3章 局部血液循环障碍,50,“心力衰竭细胞”是指(),心力衰竭时病变的心肌细胞,心力衰竭时肺泡腔内的泡沫细胞,心力衰竭时肺内吞噬碳末的巨噬细胞,硅肺致右心衰竭时肺内吞噬硅尘的巨,褐色硬化肺内含有含铁血黄素的巨噬,B
第3章 局部血液循环障碍,51,下列哪项不属于病理性充血(),炎性充血,饭后胃肠道黏膜的充血,侧支循环性充,减压后充血,二尖瓣狭窄时的肺充血,C
第3章 局部血液循环障碍,52,右心衰竭可使以下器官淤血的是(),肺、肝及胃肠道,肝、脾及胃肠道,肺、脑及胃肠道,肾、肺及胃肠道,脾、肺及胃肠道,D
第3章 局部血液循环障碍,53,右心衰竭时引起淤血的器官主要是：,肺、肝及胃肠道,肝、脾及胃肠道,脑、肺及胃肠道,肺内支气管扩张,脾、肺及胃肠道,D
第3章 局部血液循环障碍,54,慢性肺淤血的特点不包括(),切面流出淡红色泡沫状液体,肺泡腔内有心衰细胞,肺泡壁毛细血管扩张充,肺内支气管扩张,肺泡间隔增宽,B
第3章 局部血液循环障碍,55,血液从心腔或血管内流出体外称为(),内出血,血肿,积血,漏出性出血,外出血,C
第3章 局部血液循环障碍,56,弥漫性血管内凝血发生广泛出血的主要原因是(),肝凝血酶原合成减少,血管壁广泛损伤,大量血小板及纤维蛋白消耗,单核吞噬细胞系统功能下降,血浆中缓激肽浓度增高,B
第3章 局部血液循环障碍,57,下列哪项不属于病理性充血(),炎性充血,减压后性充血,致炎因子引起的充血,侧支循环性充血,器官组织活动增强时引起的充血,E
第3章 局部血液循环障碍,58,肺栓塞的后果包括以下几点，但除外,急死,肺梗死,间质性肺炎,肺动脉高压,右心房扩大,B
第3章 局部血液循环障碍,59,右上肢静脉血栓脱落主要栓塞于,肺动脉,脑动脉,肝动脉,心冠状动脉,以上均不是,B
第3章 局部血液循环障碍,60,槟榔肝可发展为(,坏死后性肝硬化,门脉性肝硬化,淤血性肝硬化,胆汁性肝硬化,寄生虫性肝硬化,E
第3章 局部血液循环障碍,61,微循环血管壁通透性增高引起的出血是(),破裂性出血,体腔积血,外出血,漏出性出血,渗出性出血,E
第3章 局部血液循环障碍,62,栓子是：,循环血液内脱落的血栓,循环血液内脱落的菌落,循环血液内不溶于血液的异物,循环血液内脂肪和空气,以上都不是,A
第3章 局部血液循环障碍,63,右下肢静脉血栓脱落主要栓塞于：,肺动脉,下腔静脉,右心房,右心室,右下肢大静脉,D
第3章 局部血液循环障碍,64,下述关于肺淤血的描述. 哪一项是错误的,肺泡壁毛细血管扩张,肺泡内中性白细胞和纤维素渗出,肺泡腔内有水肿液,可发生漏出性出血,常可见心衰细胞,D
第3章 局部血液循环障碍,65,肺动脉栓塞不会引起(,猝死,间质性肺炎,肺梗死,肺动脉高压,右心室扩张,A
第3章 局部血液循环障碍,66,心脏赘生物最常见于(,心外膜,心瓣膜,心内膜,心肌,冠状动脉口,B
第3章 局部血液循环障碍,67,皮肤、黏膜和浆膜少而广泛的出血灶称为())A. 积血,体腔积血,淤血,血肿,凝血块,瘀点,E
第3章 局部血液循环障碍,68,血液从心腔或血管内逸出，并积聚于体腔内称为(),体腔积血,出血,血肿,外出血,漏出性出血,C
第3章 局部血液循环障碍,69,血液流入组织内并局限化时，形成(),积血,外出血,内出血,血肿,淤斑,C
第3章 局部血液循环障碍,70,淤血是（),血液淤积于皮下组织内,毛细血管和小静脉内血含量增加,血管扩张所致,血管腔内充满血液,血管内含血量增多,C
第3章 局部血液循环障碍,71,肺淤血主要由下列哪种病变引起(）,肺动脉栓塞,急性风湿性心内膜炎,空气栓塞,左心衰竭,肺源性心脏病,E
第3章 局部血液循环障碍,72,关于淤血组织器官的病变，哪项描述是错误的(),常伴有水肿,呈暗红色,温度增加,可引起出血,可发生萎缩,B
第3章 局部血液循环障碍,73,血栓形成是指(),在活体的心脏和血管内血液成分形成,血液发生凝固形成固体质块的过程,在活体组织内血液发生凝固形成固体,血液在静止状态中发生的异常凝固,活体组织内红细胞发生凝固形成固体,D
第3章 局部血液循环障碍,74,关于出血性梗死的病理学特征，以下哪项说法不正确(),梗死灶呈锲形,梗死区淤血、出血明显,充血、出血带不明显,组织结构常不清,常合并细菌感染,A
第3章 局部血液循环障碍,75,下列哪种出血不属于破裂性出血(),慢性空洞性肺结核大咯血,肝硬化食管静脉曲张大呕血,十二指肠溃疡柏油样便,胃癌呕血,肺淤血性出血,C
第3章 局部血液循环障碍,76,急性风湿性心内膜炎。心瓣膜上的赘生物为(),透明血栓,红色血栓,白色血栓,混合血栓,微血栓,C
第3章 局部血液循环障碍,77,左心室附壁血栓可引起(,心力衰竭,肺淤血,脑动脉栓塞,肺动脉栓塞,心壁穿孔,B
第3章 局部血液循环障碍,78,股静脉血栓形成时. 下述哪种结局不易发生,阻塞血流,机化,脱落,钙化,血流完全恢复正常,D
第3章 局部血液循环障碍,79,肱静脉血栓形成可引起(,肺动脉栓塞,尺动脉栓塞,桡动脉栓塞,脑动脉栓塞,肾动脉栓塞,B
第3章 局部血液循环障碍,80,有关慢性肝淤血的叙述中，下列哪一项不妥,中央静脉扩张,肝窦扩张,肝细胞有萎缩,门静脉扩张,部分肝细胞脂变,A
第3章 局部血液循环障碍,81,层状血栓是(),红色血栓,白色血栓,混合血栓,透明血栓,延续性血栓,B
第3章 局部血液循环障碍,82,下列出血病变中不属于内出血的是(),血肿,淤点,淤斑,鼻衄,腹腔积血,E
第3章 局部血液循环障碍,83,红色血栓的特点不包括(,暗红色,经一定时间后变干燥,主要见于静脉内,主要见于心瓣膜,经一定时间后失去弹性,A
第3章 局部血液循环障碍,84,肺动脉栓塞患者，死亡的常见原因是)(),大片肺出血,中毒性休克,肾功能衰竭,急性右心衰,急性左心衰,B
第3章 局部血液循环障碍,85,血液凝固性增加见于(,动脉中膜钙化,血脂增高时,梅毒性主动脉炎,原发性高血压,二尖瓣狭窄,E
第3章 局部血液循环障碍,86,白色血栓在什么情况下形成）(）,血流不变时,血流减慢时,血流停滞时,血流较快时,组织出血时,A
第3章 局部血液循环障碍,87,静脉石是指(）,静脉血栓,静脉血栓完全机化后钙盐沉积,静脉血栓未完全机化后钙盐沉积,静脉内钙盐沉积,静脉内胆盐沉积,A
第3章 局部血液循环障碍,88,毛细血管内的血栓属于(,白色血栓,红色血栓,混合血栓,透明血栓,闭塞性血栓,D
第3章 局部血液循环障碍,89,含细菌的血栓脱落可引起(),贫血性梗死,脓毒性梗死,出血性梗死,无菌性梗死,广泛性梗死,C
第3章 局部血液循环障碍,90,不会引起肺淤血的心脏病是)(),高血压心脏病,冠心病,风湿性心脏病,肺源性心脏病,梅毒性心脏病,D
第3章 局部血液循环障碍,91,循环血液中的凝血块，随血流运行至相应大小的血管，引起管腔阻塞的过程叫做：,血栓,血栓形成,血栓栓塞,梗塞,中央静脉和肝血窦扩张淤血,D
第3章 局部血液循环障碍,92,慢性肝淤血时，通常不会出现(),肝细胞萎缩,肝细胞脂肪变性,肝纤维支架的破坏,纤维组织增生,中央静脉和肝血窦扩张淤血,D
第3章 局部血液循环障碍,93,混合血栓见于(),毛细血管内,静脉血栓的头部,动脉血栓的起始部,心瓣膜上的赘生物,静脉血栓的体部,B
第3章 局部血液循环障碍,94,下述对贫血性梗死的描述中，哪种说法是错的(),形态与脏器的血管分布有关,梗死灶边缘常有充血、出血反应带,梗死灶边界不清,肺泡壁上皮细胞,实质细胞发生凝固性坏死,D
第3章 局部血液循环障碍,95,慢性肺淤血时肺泡腔中见到的主要成分是(),心力衰竭细胞,炎症细胞,纤维蛋白,肺泡壁上皮细胞,水肿液,C
第3章 局部血液循环障碍,96,下述关于肺淤血的记述中，哪一项是错误的(),肺泡壁毛细血管扩张,肺泡内中性粒细胞和纤维素渗出,肺泡腔内有水肿液,可发生漏出性出血,常可见心力衰竭细胞,D
第3章 局部血液循环障碍,97,慢性肺淤血患者痰的特征是(),黏液痰,粉红色泡沫痰,黄脓痰,血性痰,铁锈色痰,B
第3章 局部血液循环障碍,98,血栓转归中不会发生的是(),钙化,溶解,化生,机化,形成栓子,D
第3章 局部血液循环障碍,99,左心房血栓脱落不会引起(),脑梗死,肺梗死,肾梗死,脾梗死,下肢梗死,C
第3章 局部血液循环障碍,100,弥漫性血管内凝血(DIC) 是指(),全身小静脉内有广泛性血栓形成,全身小动脉内有广泛性血栓形成,微循环内有广泛性微血栓的形成,全身小静脉及小动脉内均有广泛性血,心血管内有广泛性血栓形成,C
第3章 局部血液循环障碍,101,E138.E143.E134.C139.B144.D135.A140.C145.D136.D141.E146.B137.B142.D147.C,静脉血栓多于动脉血栓,下肢血栓多于上肢血栓,心腔内多形成附壁血栓,全身小静脉及小动脉内均有广泛性血,心血管内有广泛性血栓形成,E
第3章 局部血液循环障碍,102,有关血栓形成规律的说法中，不正确的是(),静脉血栓多于动脉血栓,下肢血栓多于上肢血栓,心腔内多形成附壁血栓,静脉血栓多为红色血栓,透明血栓多发生于微循环内,C
第3章 局部血液循环障碍,103,槟榔肝的特点不包括(,肝中央静脉扩张,胆小管增生,肝细胞萎缩,肝细胞脂肪变性,肝窦明显扩张充血,E
第3章 局部血液循环障碍,104,手术后好发血栓的部位是(),下肢静脉,肾动脉,颈静脉,冠状动脉,门静脉,B
第3章 局部血液循环障碍,105,白色血栓的主要成分是(,血小板,中性粒细胞,红细胞,单核细胞,纤维蛋白,B
第3章 局部血液循环障碍,106,有关血栓的描述中，错误的是(),心瓣膜上的血栓为赘生物,混合血栓在光镜下可见灰白和灰褐的,透明血栓常发生于毛细血管,球形血栓常发生于左心房,血栓可钙化形成静脉石,C
第3章 局部血液循环障碍,107,下述因素哪种与血栓形成无关,血管内膜损伤,血流缓慢,血小板数量增多,癌细胞崩解产物,纤维蛋白溶酶增加,B
第3章 局部血液循环障碍,108,A153.A158.B149.A154.C159.C150.E155.C160.E151.A156.B161.C152.E157.A162.D,血栓形成,动脉瘤,血小板数量增多,癌细胞崩解产物,纤维蛋白溶酶增加,C
第3章 局部血液循环障碍,109,下列哪种因素与动脉阻塞无关(),血栓形成,动脉瘤,肿瘤压迫,动脉粥样硬化,动脉栓塞,D
第4章 炎症,1,下列哪种不是异物性肉芽肿的原因(),手术缝线,注入的油脂,植物纤维,寄生虫,滑石粉,B
第4章 炎症,2,下列哪一种细胞合成免疫球蛋白(),单核细胞,T淋巴细胞,浆细胞,中性粒细胞,嗜酸性粒细胞,A
第4章 炎症,3,以变质为主的炎症，其实质细胞的主要变化是(),增生和再生,萎缩和变性,变性和坏死,增生和变性,坏死和萎缩,A
第4章 炎症,4,下列哪项病变不是浆液性炎(),胸膜炎积液,早期感冒黏膜炎,肾盂积水,昆虫毒素引起的皮下水肿,皮肤Ⅱ度烧伤水疱,B
第4章 炎症,5,炎症反应中最有防御作用的是(）,组织增生,动脉充血,发热反应,吞噬作用,液体渗出,E
第4章 炎症,6,炎症的基本病变是(,组织细胞的变性坏死,组织的炎性充血和水肿,变质，渗出，增生,红，肿，热，痛，功能障碍,周围血液中白细胞增多和体温升高,B
第4章 炎症,7,溶血性链球菌感染最常引起(),蜂窝织炎,脓肿,纤维素性炎,伪膜性炎,出血性炎,D
第4章 炎症,8,金黄色葡萄球菌感染最常引起(）,蜂窝织炎,脓肿,纤维素性炎,伪膜性炎,出血性炎,C
第4章 炎症,9,伪膜性炎症发生后对患者危害最大的部位在(),心包,胸膜,腹膜,气管,结肠,C
第4章 炎症,10,在葡萄球菌感染的炎症反应中所见到的炎细胞主要是(）,淋巴细胞,单核细胞,嗜酸性粒细胞,肥大细胞,中性粒细胞,C
第4章 炎症,11,下列哪项与漏出液的特点无关(),液体比重低,液体静置后不凝固,液体内无或极少纤维蛋白原,漏出与流体静力学因素有关,Rivalta 反应阳性,D
第4章 炎症,12,在寄生虫感染病变中，下列哪种细胞常见(),嗜酸性粒细胞,淋巴细胞,液体静置后凝固,浆细胞,单核细胞,C
第4章 炎症,13,下列哪项与炎症渗出液无关(),血管通透性增高,液体比重高,液体静置后凝固,液体内含纤维蛋白原,液体内含极少细胞,A
第4章 炎症,14,卡他性炎症指的是(),皮肤的浆液性炎,浆膜的浆液性炎,黏膜的浆液性炎,关节的浆液性炎,脑膜的浆液性炎,B
第4章 炎症,15,化脓性炎症组织内浸润的细胞主要是(),淋巴细胞,浆细胞,巨噬细胞,中性粒细胞,嗜酸性粒细胞,D
第4章 炎症,16,在炎症过程中，最早出现的血管反应：是(),细动脉扩张，充血,细动脉和毛细血管扩张,细动脉，细静脉和毛细血管扩张,毛细血管扩张,细动脉收缩,E
第4章 炎症,17,关于化脓性炎的结局下列哪项是错的(),吸收消散,机化包裹,脓汁引流排出，组织再生而痊愈,转为慢性,化脓菌入血引起菌血症,E
第4章 炎症,18,内皮细胞、纤维母细胞、淋巴细胞常见于(),急性炎症,炎性肉芽组织,伤口愈合处,肉芽肿性炎,化脓性炎症,A
第4章 炎症,19,引起出血性炎的主要原因是(),血管破裂,血管壁损伤较重,组织缺血缺氧,组织内胶体渗透压升高,血浆晶体渗透压升高,E
第4章 炎症,20,引起炎症的因素中最常见的是(C,机械性损伤,物理性损伤,化学性损伤,生物性损伤,遗传性缺陷,C
第4章 炎症,21,在过敏反应炎症中，组胺来源于C),嗜酸性粒细胞,淋巴细胞,浆细胞,肥大细胞,单核细胞,D
第4章 炎症,22,慢性炎症组织内浸润的细胞主要是),淋巴细胞,中性粒细胞,嗜酸性粒细胞,嗜碱性粒细胞,肥大细胞,E
第4章 炎症,23,急性炎症病灶内哪种炎症细胞最多见),浆细胞,淋巴细胞,嗜酸性粒细胞,中性粒细胞,巨噬细胞,E
第4章 炎症,24,只有一个开口的病理性盲管是),糜烂,溃疡,窦道,瘘管,空洞,B
第4章 炎症,25,钩端螺旋体病属下列哪种类型炎症),浆液性炎,化脓性炎,蜂窝织炎,增生性炎,出血性炎,B
第4章 炎症,26,下述哪种疾病属出血性炎C）,病毒性肝炎,肠阿米巴病,流行性脑脊髓膜炎,钩端螺旋体病,丹毒,D
第4章 炎症,27,有关炎症的定义，下列哪项最准确(),是机体对损伤所发生的反应,是活体组织对损伤因子所发生的反应,是活体组织对损伤因子所发生的防御,具有血管系统的活体组织对损伤因子,具有血管系统的活体组织对损伤因子,D
第4章 炎症,28,急性炎症时，炎症局部血流速度的减慢主要是由于(),血管内流体静压下降,血管口径变小，血流阻力增大,微血管通透性升高的结果,组织水肿升高对血管产生压迫,血管阻塞,A
第4章 炎症,29,炎症时，渗出液的产生最主要的原因是(),血管内流体静压升高,血管内胶体渗透压降低,血管通透性升高,组织静水压升高,组织液的胶体渗透压升高,D
第4章 炎症,30,炎性假瘤常发生于(),急性渗出性炎,慢性增生性炎,急性化脓性炎,细胞不典型增生,急性出血性炎,C
第4章 炎症,31,类上皮细胞来源于(）,嗜酸性粒细胞,淋巴细胞,中性粒细胞,浆细胞,巨噬细胞,E
第4章 炎症,32,急性炎症时引起组织肿胀的主要原因是(),组织增生,动脉扩张,静脉阻塞,富含蛋白的液体进入组织间隙,小静脉痉挛,D
第4章 炎症,33,急性炎症时组织变红的主要原因是(),血管内血栓形成,动脉性充血,肉芽组织形成,静脉性充血,血管扩张,E
第4章 炎症,34,急性病毒性肝炎属于(）,渗出性炎,肉芽肿性炎症,变质性炎症,增生性炎症,出血性炎症,C
第4章 炎症,35,在白细胞的渗出过程中，下列哪种细胞最先渗出(),巨噬细胞,淋巴细胞,浆细胞,中性粒细胞,嗜酸性粒细胞,C
第4章 炎症,36,伪膜性炎发展下去可引起(),假膜下肉芽肿形成,伪膜溶解液化形成脓肿,伪膜脱落形成溃疡,表面化脓,伪膜坏死发生穿孔或形成窦道,B
第4章 炎症,37,下列哪项最符合脓肿的含义(),可形成空腔的变质性炎,常见于实质性脏器的化脓性炎症,伴有明显组织坏死溶解的化脓性炎症,有组织坏死，经溶解后形成脓腔的局,愈合后常有瘢痕形成的化脓性炎症,E
第4章 炎症,38,蜂窝织炎的概念应为(),是发生于疏松结缔组织及阑尾的急性,是以中性粒细胞渗出为主的炎症,是发生在疏松结缔组织的一种弥漫性,由链球菌感染所引起的化脓性炎症,没有明显坏死的渗出性炎症,D
第4章 炎症,39,假膜性炎的假膜成分不包括(),大量纤维素,中性粒细胞,病原体,坏死细胞碎屑,大量增生的纤维母细胞,B
第4章 炎症,40,急性炎症过程中，最先发生哪种变化(),白细胞游出,白细胞附壁,吞噬作用,血流淤滞,趋化作用,C
第4章 炎症,41,纤维素性炎症的好发部位应除外(),心包膜,腹膜,皮下,结肠黏膜,支气管黏膜,D
第4章 炎症,42,慢性炎症病灶内浸润的炎细胞主要是(),中性粒细胞和单核细胞,单核细胞和淋巴细胞,浆细胞和嗜碱性粒细胞,淋巴细胞和嗜酸性粒细胞,嗜酸性细胞和嗜碱性粒细胞,C
第4章 炎症,43,急性病毒性肝炎时，最常见的炎症细胞是(),嗜酸性粒细胞,巨噬细胞,单核细胞,淋巴细胞,浆细胞,D
第4章 炎症,44,在慢性炎症灶中下列哪种炎症细胞最常见(),中性粒细胞,嗜酸性粒细胞,淋巴细胞,肥大细胞,嗜碱性粒细胞,C
第4章 炎症,45,脓肿中最常见的致病菌是(),金黄色葡萄球菌,大肠杆菌,溶血性链球菌,白色葡萄球菌,绿脓杆菌,E
第4章 炎症,46,在下列疾病中，除哪项外都是纤维素性炎症(),细菌性痢疾,小叶性肺炎,大叶性肺炎,白喉,尿毒症性心包炎,D
第4章 炎症,47,下列哪项不符合脓肿的病变.(),病灶内有大量中性粒细胞,周围可有肉芽组织增生,中心部分常发生凝固性坏死,有脓液形成,病灶中可见细菌菌落,C
第4章 炎症,48,伪膜性炎症指的是(,浆膜的纤维素性炎症,黏膜的纤维素性炎症,浆膜的浆液性炎症,黏膜的浆液性炎症,皮肤的纤维素性炎症,B
第4章 炎症,49,炎症时，血液中的细胞成分进入组织的现象称为(),白细胞附壁,白细胞粘着,炎性细胞浸润,阳性化学趋向性,化学趋向性,D
第4章 炎症,50,较多嗜酸性粒细胞浸润见于(）,伤寒杆菌感染,变态反应或寄生虫感染,乙脑病毒感染,溶血性链球菌感染,葡萄球菌感染,C
第4章 炎症,51,炎症的渗出主要由于(,血流动力学改变,血管壁通透性增高,小静脉血栓形成,循环血量增加,组织间液比重降低,A
第4章 炎症,52,炎症灶中吸引炎细胞定向集中的现象称为(),白细胞游出,白细胞吞噬,白细胞阿米巴运动,炎性趋化作用,白细胞渗出,B
第4章 炎症,53,炎性假瘤不具有下列哪项特点(),是一种良性肿瘤,由局部组织的炎性增生形成,为一边界清楚的肿瘤样团块,肉眼形态和X线所见与肿瘤相似,常见的好发部位是眼眶和肺,C
第4章 炎症,54,下列哪一项，不是渗出液对机体的有利因素(),带来各种抗体，补体及杀菌物质,稀释毒素或刺激物,纤维素的形成可限制细菌蔓延,纤维素的形成有利于机化,,B
第4章 炎症,55,炎症灶中巨噬细胞的主要作用是(),释放氧自由基,释放血管活性胺,形成浆细胞,吞噬较大的病原体和组织碎片,吞噬抗原抗体复合物,C
第4章 炎症,56,下列细胞中来源与巨噬细胞无关的是(),泡沫细胞,Aschoff 细胞,伤寒细胞,印戒细胞,类上皮细胞,B
第4章 炎症,57,下述炎症改变中，最有防御意义的是(),渗出液的产生,氧自由基释放,浆液性炎,血液停滞,炎症介质形成,B
